Period,suvs
2004-01,96
2004-02,96
2004-03,93
2004-04,94
2004-05,91
2004-06,94
2004-07,99
2004-08,100
2004-09,99
2004-10,88
2004-11,83
2004-12,86
2005-01,90
2005-02,93
2005-03,90
2005-04,83
2005-05,83
2005-06,89
2005-07,95
2005-08,95
2005-09,78
2005-10,78
2005-11,75
2005-12,76
2006-01,80
2006-02,79
2006-03,80
2006-04,83
2006-05,78
2006-06,81
2006-07,87
2006-08,88
2006-09,78
2006-10,74
2006-11,71
2006-12,73
2007-01,74
2007-02,78
2007-03,76
2007-04,75
2007-05,73
2007-06,73
2007-07,80
2007-08,82
2007-09,73
2007-10,70
2007-11,66
2007-12,69
2008-01,69
2008-02,71
2008-03,70
2008-04,68
2008-05,66
2008-06,63
2008-07,64
2008-08,65
2008-09,60
2008-10,58
2008-11,56
2008-12,61
2009-01,61
2009-02,58
2009-03,58
2009-04,59
2009-05,57
2009-06,58
2009-07,62
2009-08,66
2009-09,56
2009-10,55
2009-11,52
2009-12,57
2010-01,55
2010-02,58
2010-03,57
2010-04,56
2010-05,54
2010-06,55
2010-07,61
2010-08,62
2010-09,57
2010-10,54
2010-11,52
2010-12,55
2011-01,67
2011-02,69
2011-03,67
2011-04,66
2011-05,64
2011-06,65
2011-07,69
